endTime,artistName,trackName,msPlayed
2023-11-13 21:10,De Jeugd Van Tegenwoordig,Sterrenstof,219901
2023-11-13 21:13,The Opposites,Broodje Bakpao,195387
2023-11-13 21:20,Het Goede Doel,Belgie ... (Is Er Leven Op Pluto ...),360707
2023-11-13 21:23,The Opposites,Hey DJ,198293
2023-11-13 21:27,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),235613
2023-11-13 21:30,Empire Of The Sun,Walking On A Dream,198440
2023-11-13 22:08,50 Cent,Ayo Technology,243976
2023-11-14 05:49,Het Goede Doel,Belgie ... (Is Er Leven Op Pluto ...),1752
2023-11-14 05:49,Natte Visstick,Samson & Ket - Vieze Asbak Remix,4908
2023-11-14 05:49,Kylie Minogue,Can't Get You out of My Head,1432
2023-11-14 05:52,De Jeugd Van Tegenwoordig,Shenkie,212826
2023-11-14 05:57,The Pussycat Dolls,Don't Cha,272080
2023-11-14 06:01,Madcon,Beggin (original version),216146
2023-11-14 06:04,Brainpower,Vlinders,226306
2023-11-14 06:08,Black Eyed Peas,Pump It,213066
2023-11-14 06:11,The Opposites,Licht Uit,190680
2023-11-14 06:16,Macklemore,Can't Hold Us (feat. Ray Dalton),258342
2023-11-14 06:28,Justin Timberlake,Rock Your Body,144693
2023-11-14 07:17,Justin Timberlake,Rock Your Body,1486
2023-11-14 07:20,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,175997
2023-11-14 07:21,Reflexx,Fightclub,47950
2023-11-14 07:23,Knurft,Ready or not,113700
2023-11-14 07:26,Crude Intentions,Go Down Low,212129
2023-11-14 07:28,German Shephard,Hard Techno Party,102857
2023-11-14 07:31,Öwnboss,Move Your Body - Restricted Remix,176250
2023-11-14 07:34,Cartoon,I'm Not Alright - NLCK & Dimatik Remix,178400
2023-11-14 07:35,SP4CKS,make me feel like,88555
2023-11-14 07:37,Francesco Zeta,I Can't Get It Out of My Head - Album Edit,130583
2023-11-14 07:42,Copy Paste,I Like to Move It - Kyanu Remix,164263
2023-11-14 07:45,G4BBA,Bassface,200391
2023-11-14 07:50,ØTJE,Bump Up The Bass,282015
2023-11-14 07:56,SØLEN,Shøtgun,355919
2023-11-14 07:59,TAKTSTÖRER,Deep End,172876
2023-11-14 08:01,DXLT,Say My Name - Techno Remix,162142
2023-11-14 08:05,The Purge,GAME PLAN,138023
2023-11-14 08:08,Stupid Whizkid,Deep End - Maxtreme Remix,183967
2023-11-14 08:10,Tiefundton,FUCK YOU LIKE A SLUT - Extended Mix,104643
2023-11-14 08:14,VIDO,Sorry Baby,283000
2023-11-14 08:15,Koni053,Push It,42370
2023-11-14 08:20,Vieze Asbak,Pump This Party,145840
2023-11-14 08:22,Tic-Tekk-Toe,High Enough,108956
2023-11-14 08:23,Klaus Veen,Ga Maar Vast,60703
2023-11-14 08:30,Rooler,DISCOTEK,18227
2023-11-14 12:18,Rooler,DISCOTEK,200503
2023-11-14 12:19,moduz,funky beat,81987
2023-11-14 12:22,GRAVEDGR,JUGGERNAUT,167290
2023-11-14 12:24,Vieze Asbak,Lau En Tiny - Vloek Mix,97068
2023-11-14 12:25,Tic-Tekk-Toe,Mine,93264
2023-11-14 12:28,Natte Visstick,Samson & Ket - Vieze Asbak Remix,146575
2023-11-14 12:30,Rooler,LOVE U BABY,155070
2023-11-14 12:33,Coone,Return Of The Return,175874
2023-11-14 12:35,Vieze Asbak,De Lounge - Juan Mix,106406
2023-11-14 12:36,Dutch Hour,Elixir - NeuroBeatz Remix,72208
2023-11-14 12:37,Tic-Tekk-Toe,Ride Clean,78236
