End Time,Artist Name,Track Name,Milliseconds Played
2024-04-15 11:53,Bob Marley & The Wailers,Stir It Up - Jamaican Version,217800
2024-04-15 11:57,Bob Marley & The Wailers,Buffalo Soldier,247379
2024-04-15 12:35,POSEIDON,LIGHTER - HARDSTYLE,9430
2024-04-15 12:37,D-Sturb,In Your Bones,124870
2024-04-15 12:38,GPF,Spit In My Mouth,7050
2024-04-15 12:40,Chef'Special,New Gold,164905
2024-04-15 12:42,Fred again..,BerwynGesaffNeighbours,12610
2024-04-15 12:42,Wiqtory,Valerie,73992
2024-04-15 12:42,Öwnboss,RIOT - Curbi Remix,26340
2024-04-15 12:42,Slash,Oh Well feat. Chris Stapleton,1670
2024-04-15 12:42,Sickmode,TOO ANGRY,10970
2024-04-15 12:43,Dual Damage,Can't Get You Outta My Head,14730
2024-04-15 12:43,Showtek,Real One,30280
2024-04-15 12:43,Rauw Vlees,THE BASS WAS TOO LOUD,7170
2024-04-15 12:44,Atmozfears,timebreaker,13570
2024-04-15 12:44,B-Front,Embrace The Silence,12260
2024-04-15 12:44,SWORRA,THE DEATH RIDER,9720
2024-04-15 12:44,Mutilator,OCEANS,15120
2024-04-15 12:44,Triangler,Reality Techno,5510
2024-04-15 12:45,Mike Candys,Movin,10870
2024-04-15 12:45,Party Animals,This Moment - Unlocked Remix,6980
2024-04-15 12:45,Henry And The Waiter,Losing My Mind,12010
2024-04-15 12:45,Vlinder Vos,Airplane Mode,3960
2024-04-15 12:45,Reinier Zonneveld,Bouncing Ball,5750
2024-04-15 12:46,HCTM,Pick Up,67066
2024-04-15 12:47,HYPERAVE,ALIBI (HYPERTECHNO),39751
2024-04-15 12:47,Lunar Lo-Fi,Sat(i)ellite,4835
2024-04-15 12:47,Quantic,Run feat. Andreya Triana - Sofia Kourtesis Remix,7590
2024-04-15 12:47,Sanctuary,Big Change,17442
2024-04-15 12:47,Linkin Park,QWERTY,2080
2024-04-15 12:48,Hentrenamientoh,Remanecer,9870
2024-04-15 12:48,Maddix,Adrenalina (Minha Gasolina),5730
2024-04-16 04:23,Bob Marley & The Wailers,Buffalo Soldier,5990
2024-04-16 04:27,Bob Marley & The Wailers,Could You Be Loved,237000
2024-04-16 04:30,Bob Marley & The Wailers,Three Little Birds,180266
2024-04-16 04:34,Bob Marley & The Wailers,Is This Love,232200
2024-04-16 04:37,Bob Marley & The Wailers,Jamming,211000
2024-04-16 04:40,Bob Marley & The Wailers,One Love / People Get Ready,172933
2024-04-16 04:51,Bob Marley & The Wailers,"Roots, Rock, Reggae",218400
